bank,hospital,house,school,supermarket
5.0,2.0,14.0,25.0,0.0
13.0,12.0,27.0,36.0,7.0
6.0,2.0,1.0,9.0,2.0
6.0,1.0,1.0,4.0,1.0
33.0,11.0,63.0,96.0,8.0
20.0,6.0,25.0,50.0,5.0
5.0,2.0,2.0,11.0,1.0
11.0,3.0,2.0,14.0,3.0
11.0,3.0,2.0,14.0,3.0
6.0,3.0,3.0,12.0,1.0
5.0,0.0,0.0,10.0,3.0
10.0,2.0,1.0,14.0,3.0
5.0,3.0,32.0,46.0,4.0
49.0,31.0,144.0,185.0,14.0
38.0,21.0,128.0,103.0,10.0
10.0,4.0,51.0,70.0,0.0
78.0,31.0,256.0,258.0,19.0
80.0,19.0,196.0,149.0,16.0
9.0,1.0,13.0,6.0,0.0
15.0,7.0,39.0,47.0,1.0
39.0,11.0,119.0,114.0,3.0
41.0,6.0,99.0,66.0,1.0
14.0,3.0,22.0,49.0,1.0
23.0,2.0,40.0,40.0,1.0
5.0,1.0,16.0,20.0,1.0
12.0,2.0,13.0,8.0,4.0
16.0,5.0,24.0,17.0,4.0
5.0,3.0,11.0,9.0,1.0
6.0,1.0,4.0,11.0,1.0
11.0,5.0,18.0,79.0,3.0
13.0,8.0,41.0,117.0,3.0
44.0,20.0,86.0,198.0,5.0
76.0,16.0,121.0,153.0,12.0
24.0,3.0,46.0,27.0,5.0
6.0,1.0,4.0,12.0,1.0
5.0,4.0,23.0,42.0,0.0
6.0,6.0,31.0,66.0,0.0
32.0,16.0,61.0,157.0,4.0
51.0,12.0,100.0,84.0,7.0
19.0,3.0,28.0,13.0,3.0
5.0,2.0,3.0,17.0,2.0
5.0,2.0,2.0,14.0,2.0
15.0,6.0,15.0,47.0,1.0
45.0,16.0,40.0,119.0,3.0
6.0,3.0,5.0,20.0,1.0
5.0,1.0,4.0,13.0,2.0
17.0,5.0,16.0,35.0,1.0
41.0,16.0,46.0,108.0,3.0
15.0,0.0,18.0,34.0,1.0
5.0,6.0,11.0,45.0,2.0
37.0,21.0,49.0,160.0,11.0
25.0,11.0,31.0,100.0,6.0
6.0,1.0,5.0,13.0,3.0
21.0,13.0,31.0,98.0,4.0
13.0,14.0,7.0,73.0,1.0
5.0,4.0,1.0,18.0,0.0
5.0,5.0,2.0,15.0,0.0
5.0,4.0,1.0,10.0,1.0
5.0,3.0,6.0,8.0,1.0
5.0,5.0,0.0,3.0,0.0
5.0,1.0,2.0,13.0,1.0
5.0,1.0,0.0,1.0,0.0
5.0,5.0,0.0,3.0,0.0
27.0,10.0,48.0,47.0,11.0
28.0,9.0,52.0,42.0,12.0
7.0,1.0,6.0,10.0,0.0
23.0,5.0,45.0,45.0,6.0
28.0,4.0,59.0,42.0,4.0
6.0,0.0,4.0,4.0,0.0
7.0,2.0,12.0,21.0,2.0
9.0,1.0,23.0,18.0,3.0
9.0,5.0,12.0,7.0,3.0
11.0,5.0,19.0,48.0,3.0
8.0,3.0,12.0,28.0,2.0
9.0,5.0,9.0,7.0,3.0
5.0,1.0,8.0,30.0,1.0
48.0,14.0,40.0,172.0,13.0
32.0,12.0,32.0,102.0,6.0
33.0,2.0,29.0,123.0,10.0
28.0,3.0,22.0,81.0,6.0
10.0,3.0,61.0,31.0,1.0
5.0,1.0,20.0,11.0,1.0
5.0,3.0,0.0,8.0,0.0
5.0,3.0,0.0,9.0,0.0
15.0,6.0,23.0,61.0,2.0
35.0,12.0,44.0,130.0,8.0
15.0,9.0,31.0,70.0,2.0
7.0,12.0,34.0,47.0,2.0
42.0,29.0,202.0,113.0,12.0
42.0,24.0,193.0,77.0,9.0
7.0,1.0,33.0,17.0,1.0
15.0,1.0,28.0,42.0,4.0
35.0,10.0,68.0,125.0,6.0
13.0,10.0,40.0,62.0,2.0
16.0,25.0,76.0,76.0,3.0
76.0,46.0,316.0,205.0,19.0
65.0,24.0,272.0,128.0,14.0
13.0,5.0,43.0,22.0,7.0
5.0,1.0,1.0,11.0,0.0
6.0,5.0,5.0,18.0,0.0
7.0,4.0,6.0,13.0,0.0
6.0,9.0,31.0,31.0,1.0
19.0,7.0,91.0,70.0,3.0
11.0,5.0,54.0,36.0,2.0
5.0,1.0,1.0,11.0,0.0
5.0,1.0,1.0,11.0,0.0
5.0,0.0,1.0,11.0,0.0
5.0,0.0,1.0,6.0,0.0
15.0,7.0,50.0,44.0,8.0
5.0,5.0,21.0,23.0,4.0
5.0,0.0,4.0,7.0,2.0
5.0,0.0,4.0,9.0,2.0
13.0,4.0,50.0,28.0,6.0
5.0,1.0,5.0,9.0,2.0
5.0,1.0,0.0,6.0,3.0
6.0,1.0,1.0,8.0,3.0
6.0,3.0,3.0,3.0,2.0
6.0,3.0,3.0,4.0,2.0
5.0,1.0,0.0,6.0,1.0
5.0,1.0,0.0,5.0,1.0
5.0,9.0,15.0,22.0,3.0
29.0,33.0,93.0,82.0,12.0
33.0,21.0,112.0,84.0,9.0
8.0,6.0,51.0,37.0,1.0
5.0,1.0,0.0,5.0,1.0
8.0,10.0,38.0,41.0,3.0
45.0,28.0,138.0,108.0,12.0
46.0,16.0,164.0,90.0,6.0
20.0,3.0,90.0,47.0,2.0
13.0,6.0,78.0,57.0,5.0
6.0,6.0,12.0,29.0,3.0
19.0,8.0,64.0,56.0,3.0
16.0,5.0,69.0,30.0,2.0
13.0,2.0,52.0,17.0,1.0
10.0,6.0,43.0,39.0,6.0
24.0,11.0,41.0,57.0,2.0
46.0,10.0,81.0,107.0,5.0
14.0,3.0,34.0,30.0,2.0
8.0,3.0,18.0,39.0,1.0
33.0,9.0,60.0,91.0,4.0
7.0,2.0,5.0,6.0,4.0
7.0,2.0,7.0,9.0,1.0
5.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
6.0,2.0,1.0,1.0,2.0
5.0,0.0,0.0,0.0,0.0
6.0,1.0,0.0,6.0,0.0
5.0,1.0,0.0,3.0,0.0
6.0,2.0,10.0,9.0,2.0
6.0,2.0,10.0,9.0,2.0
8.0,4.0,38.0,13.0,9.0
8.0,8.0,42.0,16.0,9.0
5.0,2.0,4.0,6.0,0.0
8.0,5.0,35.0,16.0,5.0
8.0,6.0,27.0,16.0,5.0
11.0,2.0,7.0,1.0,1.0
15.0,3.0,26.0,3.0,3.0
10.0,4.0,76.0,16.0,8.0
8.0,2.0,65.0,16.0,6.0
9.0,2.0,12.0,15.0,2.0
5.0,1.0,20.0,3.0,4.0
6.0,1.0,47.0,16.0,1.0
5.0,1.0,8.0,8.0,2.0
5.0,0.0,9.0,5.0,1.0
10.0,4.0,98.0,14.0,10.0
10.0,7.0,117.0,19.0,9.0
12.0,0.0,10.0,1.0,2.0
29.0,8.0,251.0,24.0,44.0
20.0,4.0,95.0,13.0,37.0
5.0,2.0,2.0,17.0,0.0
30.0,13.0,64.0,38.0,5.0
33.0,12.0,101.0,53.0,6.0
13.0,1.0,36.0,19.0,5.0
6.0,2.0,7.0,9.0,2.0
6.0,2.0,9.0,10.0,1.0
6.0,0.0,36.0,14.0,10.0
5.0,3.0,44.0,5.0,2.0
12.0,0.0,2.0,1.0,1.0
20.0,4.0,268.0,20.0,6.0
11.0,3.0,95.0,9.0,0.0
6.0,2.0,1.0,8.0,0.0
11.0,7.0,60.0,35.0,3.0
11.0,4.0,58.0,37.0,3.0
18.0,4.0,70.0,27.0,6.0
37.0,9.0,152.0,50.0,9.0
16.0,5.0,81.0,20.0,4.0
12.0,5.0,65.0,24.0,7.0
5.0,3.0,40.0,14.0,7.0
96.0,46.0,899.0,68.0,65.0
119.0,60.0,892.0,98.0,100.0
6.0,3.0,1.0,8.0,0.0
8.0,2.0,55.0,16.0,1.0
5.0,4.0,7.0,5.0,2.0
33.0,8.0,123.0,64.0,20.0
27.0,5.0,69.0,35.0,12.0
10.0,2.0,42.0,21.0,1.0
22.0,3.0,68.0,22.0,2.0
110.0,58.0,894.0,136.0,109.0
6.0,7.0,172.0,16.0,8.0
5.0,1.0,76.0,6.0,1.0
5.0,1.0,94.0,6.0,1.0
6.0,1.0,0.0,8.0,0.0
6.0,1.0,0.0,8.0,0.0
11.0,3.0,26.0,16.0,3.0
5.0,4.0,6.0,5.0,2.0
5.0,1.0,8.0,11.0,4.0
20.0,7.0,107.0,36.0,13.0
8.0,6.0,52.0,19.0,4.0
20.0,5.0,57.0,21.0,12.0
30.0,11.0,129.0,39.0,20.0
72.0,22.0,267.0,57.0,33.0
79.0,18.0,204.0,40.0,30.0
17.0,4.0,83.0,4.0,0.0
7.0,0.0,90.0,29.0,12.0
6.0,1.0,0.0,9.0,0.0
25.0,10.0,35.0,30.0,9.0
57.0,18.0,65.0,65.0,15.0
22.0,6.0,33.0,29.0,4.0
6.0,0.0,22.0,15.0,3.0
6.0,0.0,57.0,19.0,5.0
32.0,15.0,172.0,43.0,21.0
