bank,lat,lng
5.0,20.345,110.15700000000001
13.0,20.345,110.177
6.0,20.565,110.09700000000001
6.0,20.585,110.097
33.0,20.905,110.097
20.0,20.925,110.09700000000001
5.0,21.005,110.49700000000001
11.0,21.025,110.377
11.0,21.025,110.397
6.0,21.025,110.497
5.0,21.045,110.37700000000001
10.0,21.045,110.397
5.0,21.185,110.377
49.0,21.185,110.397
38.0,21.185,110.417
10.0,21.205,110.37700000000001
78.0,21.205,110.397
80.0,21.205,110.417
9.0,21.205,110.43700000000001
15.0,21.225,110.377
39.0,21.225,110.397
41.0,21.225,110.417
14.0,21.245,110.37700000000001
23.0,21.245,110.397
5.0,21.245,110.417
12.0,21.245,110.43700000000001
16.0,21.245,110.45700000000001
5.0,21.245,110.477
6.0,21.245,110.49700000000001
11.0,21.265,110.317
13.0,21.265,110.337
44.0,21.265,110.357
76.0,21.265,110.377
24.0,21.265,110.397
6.0,21.265,110.497
5.0,21.285,110.31700000000001
6.0,21.285,110.337
32.0,21.285,110.35700000000001
51.0,21.285,110.37700000000001
19.0,21.285,110.397
5.0,21.345,110.617
5.0,21.345,110.637
15.0,21.365,110.23700000000001
45.0,21.365,110.257
6.0,21.365,110.277
5.0,21.365,110.617
17.0,21.385,110.237
41.0,21.385,110.257
15.0,21.385,110.277
5.0,21.405,110.777
37.0,21.425,110.777
25.0,21.425,110.797
6.0,21.445,110.757
21.0,21.445,110.777
13.0,21.445,110.79700000000001
5.0,21.445,110.81700000000001
5.0,21.465,110.797
5.0,21.465,111.017
5.0,21.465,111.037
5.0,21.485,110.397
5.0,21.485,111.23700000000001
5.0,21.505,110.377
5.0,21.505,110.397
27.0,21.505,110.997
28.0,21.505,111.017
7.0,21.505,111.297
23.0,21.525,110.99700000000001
28.0,21.525,111.01700000000001
6.0,21.525,111.29700000000001
7.0,21.545,110.997
9.0,21.545,111.017
9.0,21.565,111.837
11.0,21.585,110.277
8.0,21.585,110.297
9.0,21.585,111.837
5.0,21.605,110.257
48.0,21.605,110.277
32.0,21.605,110.29700000000001
33.0,21.625,110.277
28.0,21.625,110.297
10.0,21.625,110.917
5.0,21.625,110.937
5.0,21.645,110.117
5.0,21.645,110.137
15.0,21.645,110.617
35.0,21.645,110.637
15.0,21.645,110.65700000000001
7.0,21.645,110.897
42.0,21.645,110.917
42.0,21.645,110.93700000000001
7.0,21.645,110.95700000000001
15.0,21.665,110.617
35.0,21.665,110.637
13.0,21.665,110.657
16.0,21.665,110.897
76.0,21.665,110.917
65.0,21.665,110.937
13.0,21.665,110.957
5.0,21.665,110.977
6.0,21.685,110.837
7.0,21.685,110.85700000000001
6.0,21.685,110.897
19.0,21.685,110.917
11.0,21.685,110.93700000000001
5.0,21.685,111.177
5.0,21.705,111.177
5.0,21.725,111.117
5.0,21.745,111.117
15.0,21.745,111.617
5.0,21.745,111.637
5.0,21.745,111.877
5.0,21.745,111.897
13.0,21.765,111.617
5.0,21.765,111.897
5.0,21.825,110.757
6.0,21.825,110.777
6.0,21.825,112.557
6.0,21.825,112.57700000000001
5.0,21.845,110.95700000000001
5.0,21.845,110.977
5.0,21.845,111.93700000000001
29.0,21.845,111.95700000000001
33.0,21.845,111.977
8.0,21.845,111.99700000000001
5.0,21.865,110.957
8.0,21.865,111.937
45.0,21.865,111.957
46.0,21.865,111.977
20.0,21.865,111.997
13.0,21.865,112.017
6.0,21.885,111.93700000000001
19.0,21.885,111.95700000000001
16.0,21.885,111.977
13.0,21.885,111.99700000000001
10.0,21.885,112.01700000000001
24.0,21.905,110.837
46.0,21.905,110.857
14.0,21.905,110.877
8.0,21.925,110.837
33.0,21.925,110.85700000000001
7.0,21.945,112.79700000000001
7.0,21.965,112.797
5.0,21.965,113.197
5.0,21.965,113.217
6.0,21.985,113.197
5.0,21.985,113.21700000000001
6.0,22.025,110.337
5.0,22.045,110.337
6.0,22.045,111.59700000000001
6.0,22.045,111.617
8.0,22.045,113.337
8.0,22.045,113.357
5.0,22.065,112.95700000000001
8.0,22.105,113.177
8.0,22.105,113.197
11.0,22.105,113.537
15.0,22.105,113.557
10.0,22.125,113.337
8.0,22.125,113.357
9.0,22.125,113.537
5.0,22.125,113.557
6.0,22.145,111.797
5.0,22.145,113.21700000000001
5.0,22.145,113.23700000000001
10.0,22.145,113.337
10.0,22.145,113.35700000000001
12.0,22.145,113.537
29.0,22.145,113.557
20.0,22.145,113.57700000000001
5.0,22.165,110.23700000000001
30.0,22.165,111.777
33.0,22.165,111.79700000000001
13.0,22.165,112.317
6.0,22.165,113.217
6.0,22.165,113.237
6.0,22.165,113.277
5.0,22.165,113.357
12.0,22.165,113.537
20.0,22.165,113.557
11.0,22.165,113.577
6.0,22.185,110.877
11.0,22.185,111.777
11.0,22.185,111.797
18.0,22.185,112.29700000000001
37.0,22.185,112.31700000000001
16.0,22.185,112.337
12.0,22.185,113.29700000000001
5.0,22.185,113.31700000000001
96.0,22.185,113.537
119.0,22.185,113.557
6.0,22.205,110.87700000000001
8.0,22.205,112.317
5.0,22.205,112.857
33.0,22.205,113.297
27.0,22.205,113.317
10.0,22.205,113.517
22.0,22.205,113.537
110.0,22.205,113.557
6.0,22.205,113.577
5.0,22.205,114.017
5.0,22.205,114.037
6.0,22.225,110.597
6.0,22.225,110.617
11.0,22.225,112.79700000000001
5.0,22.225,112.85700000000001
5.0,22.225,113.197
20.0,22.225,113.29700000000001
8.0,22.225,113.31700000000001
20.0,22.225,113.49700000000001
30.0,22.225,113.51700000000001
72.0,22.225,113.537
79.0,22.225,113.557
17.0,22.225,113.57700000000001
7.0,22.225,114.157
6.0,22.245,110.537
25.0,22.245,112.777
57.0,22.245,112.797
22.0,22.245,112.817
6.0,22.245,113.457
6.0,22.245,113.477
32.0,22.245,113.517
31.0,22.245,113.537
45.0,22.245,113.557
58.0,22.245,113.577
24.0,22.245,113.597
9.0,22.245,114.137
35.0,22.245,114.15700000000001
27.0,22.245,114.177
10.0,22.245,114.23700000000001
6.0,22.245,114.257
6.0,22.265,110.537
24.0,22.265,112.777
35.0,22.265,112.79700000000001
7.0,22.265,112.81700000000001
17.0,22.265,113.45700000000001
20.0,22.265,113.477
12.0,22.265,113.49700000000001
46.0,22.265,113.51700000000001
56.0,22.265,113.537
46.0,22.265,113.557
67.0,22.265,113.57700000000001
16.0,22.265,113.59700000000001
21.0,22.265,114.137
184.0,22.265,114.157
225.0,22.265,114.177
100.0,22.265,114.197
38.0,22.265,114.217
53.0,22.265,114.237
28.0,22.265,114.257
5.0,22.285,113.057
8.0,22.285,113.457
7.0,22.285,113.477
17.0,22.285,113.517
31.0,22.285,113.537
54.0,22.285,113.557
51.0,22.285,113.577
8.0,22.285,113.937
8.0,22.285,113.957
5.0,22.285,114.037
14.0,22.285,114.117
71.0,22.285,114.137
284.0,22.285,114.15700000000001
430.0,22.285,114.177
176.0,22.285,114.197
128.0,22.285,114.21700000000001
73.0,22.285,114.23700000000001
12.0,22.285,114.257
27.0,22.305,110.257
21.0,22.305,110.277
6.0,22.305,112.43700000000001
6.0,22.305,113.35700000000001
54.0,22.305,114.157
287.0,22.305,114.177
101.0,22.305,114.197
125.0,22.305,114.217
89.0,22.305,114.237
46.0,22.305,114.257
14.0,22.305,114.277
26.0,22.325,110.257
19.0,22.325,110.277
6.0,22.325,112.797
31.0,22.325,114.137
148.0,22.325,114.15700000000001
214.0,22.325,114.177
116.0,22.325,114.197
106.0,22.325,114.21700000000001
61.0,22.325,114.23700000000001
29.0,22.325,114.257
29.0,22.325,114.277
7.0,22.345,110.917
37.0,22.345,110.937
24.0,22.345,110.957
7.0,22.345,112.677
10.0,22.345,112.697
6.0,22.345,112.79700000000001
6.0,22.345,113.09700000000001
6.0,22.345,113.117
5.0,22.345,113.37700000000001
9.0,22.345,113.417
19.0,22.345,113.43700000000001
10.0,22.345,113.59700000000001
5.0,22.345,114.09700000000001
26.0,22.345,114.117
58.0,22.345,114.137
56.0,22.345,114.157
46.0,22.345,114.177
60.0,22.345,114.197
29.0,22.345,114.217
6.0,22.365,110.917
33.0,22.365,110.93700000000001
17.0,22.365,110.95700000000001
41.0,22.365,112.677
67.0,22.365,112.697
16.0,22.365,112.717
6.0,22.365,112.797
5.0,22.365,112.817
6.0,22.365,113.117
8.0,22.365,113.417
23.0,22.365,113.437
14.0,22.365,113.457
9.0,22.365,113.537
8.0,22.365,113.597
10.0,22.365,113.977
12.0,22.365,114.097
97.0,22.365,114.117
107.0,22.365,114.137
18.0,22.365,114.15700000000001
18.0,22.365,114.177
56.0,22.365,114.197
6.0,22.365,114.277
22.0,22.385,112.677
30.0,22.385,112.697
9.0,22.385,112.71700000000001
6.0,22.385,112.79700000000001
5.0,22.385,112.81700000000001
6.0,22.385,113.337
8.0,22.385,113.537
8.0,22.385,113.557
54.0,22.385,113.977
35.0,22.385,113.99700000000001
43.0,22.385,114.117
46.0,22.385,114.177
57.0,22.385,114.197
14.0,22.385,114.217
6.0,22.385,114.277
5.0,22.405,110.257
5.0,22.405,110.277
6.0,22.405,113.317
5.0,22.405,113.337
46.0,22.405,113.977
10.0,22.405,114.197
8.0,22.405,114.21700000000001
22.0,22.405,114.23700000000001
6.0,22.425,112.777
6.0,22.425,112.99700000000001
5.0,22.425,113.01700000000001
5.0,22.425,113.31700000000001
42.0,22.425,114.037
13.0,22.425,114.217
23.0,22.425,114.237
6.0,22.445,111.93700000000001
15.0,22.445,112.757
21.0,22.445,112.777
5.0,22.445,113.157
22.0,22.445,113.997
63.0,22.445,114.017
46.0,22.445,114.037
44.0,22.445,114.15700000000001
48.0,22.445,114.177
5.0,22.465,111.057
5.0,22.465,112.49700000000001
5.0,22.465,112.557
5.0,22.465,112.73700000000001
6.0,22.465,112.757
10.0,22.465,112.777
5.0,22.465,112.93700000000001
12.0,22.465,113.277
19.0,22.465,113.29700000000001
10.0,22.465,113.31700000000001
16.0,22.465,113.99700000000001
17.0,22.465,114.01700000000001
22.0,22.465,114.177
5.0,22.485,111.057
6.0,22.485,112.497
5.0,22.485,112.557
5.0,22.485,112.737
9.0,22.485,112.857
6.0,22.485,112.877
6.0,22.485,113.277
5.0,22.485,113.297
8.0,22.485,113.337
13.0,22.485,113.357
7.0,22.485,113.397
9.0,22.485,113.417
7.0,22.485,113.537
10.0,22.485,113.897
28.0,22.485,113.917
32.0,22.485,113.937
49.0,22.485,114.137
19.0,22.485,114.15700000000001
5.0,22.505,112.777
6.0,22.505,112.79700000000001
7.0,22.505,112.85700000000001
5.0,22.505,112.93700000000001
9.0,22.505,113.01700000000001
52.0,22.505,113.037
31.0,22.505,113.057
12.0,22.505,113.29700000000001
18.0,22.505,113.31700000000001
16.0,22.505,113.337
34.0,22.505,113.35700000000001
52.0,22.505,113.37700000000001
73.0,22.505,113.397
36.0,22.505,113.417
5.0,22.505,113.43700000000001
6.0,22.505,113.45700000000001
8.0,22.505,113.51700000000001
10.0,22.505,113.537
25.0,22.505,113.897
71.0,22.505,113.917
95.0,22.505,113.93700000000001
16.0,22.505,113.95700000000001
13.0,22.505,114.037
29.0,22.505,114.057
27.0,22.505,114.117
49.0,22.505,114.137
13.0,22.505,114.157
5.0,22.525,110.09700000000001
5.0,22.525,110.117
5.0,22.525,112.777
5.0,22.525,112.797
5.0,22.525,112.937
13.0,22.525,113.017
74.0,22.525,113.037
48.0,22.525,113.057
9.0,22.525,113.077
7.0,22.525,113.097
5.0,22.525,113.237
7.0,22.525,113.257
7.0,22.525,113.297
15.0,22.525,113.317
